STATION_ID,STATION_NAME,LAT,LON,CAPACITY,NUM_BIKES_AVAILABLE,NUM_DOCKS_AVAILABLE,OCCUPATION_RATIO,TOTAL_CAPACITY,RATIO
261,"C/ VILLARROEL, 39",41.3821314,2.1606534,32,4,28,0.1250,32,0.1250
262,"C/ ENTENÇA, 70",41.3790955,2.1516210,24,3,20,0.1250,24,0.1250
263,"PG. TORRAS I BAGES, 29",41.4378773,2.1910691,20,4,16,0.2000,20,0.2000
264,"C/REPÚBLICA DOMINICANA,25(CENTRE COMERC",41.4399290,2.1970692,33,30,3,0.9091,33,0.9091
265,"C/ CASANOVA, 55",41.3847738,2.1592566,27,9,16,0.3333,27,0.3333
266,"C/ CONCEPCIÓ ARENAL, 176",41.4268952,2.1842572,26,8,18,0.3077,26,0.3077
267,"PG. TORRAS I BAGES, 129",41.4433647,2.1906302,24,15,8,0.6250,24,0.6250
268,"C/ FERNANDO PESSOA, 72",41.4457195,2.1929816,27,4,23,0.1481,27,0.1481
269,"VIA BARCINO, 121",41.4481520,2.1929400,20,6,14,0.3000,20,0.3000
270,"CRTA. DE RIBES, 77 (TRINITAT VELLA)",41.4486328,2.1898372,27,15,12,0.5556,27,0.5556
271,"VIA BARCINO, 69",41.4506081,2.1923629,20,13,7,0.6500,20,0.6500
272,"C/ CONCEPCIÓ ARENAL, 281",41.4325013,2.1842021,27,5,21,0.1852,27,0.1852
273,"Westfield La Maquinista -  AV. MERIDIANA, 404",41.4304126,2.1834174,36,3,32,0.0833,36,0.0833
274,"RAMBLA FABRA I PUIG, 67",41.4299201,2.1849813,32,12,20,0.3750,32,0.3750
275,"AV. RIO DE JANEIRO, 3",41.4306800,2.1821802,32,8,23,0.2500,32,0.2500
276,PLAÇA ALFONS X EL SAVI / RONDA DEL GUIN,41.4121345,2.1652216,27,1,24,0.0370,27,0.0370
277,"TRAVESSERA DE GRÀCIA, 328",41.4082107,2.1689962,27,1,26,0.0370,27,0.0370
278,"TRAVESSERA DE GRÀCIA, 368",41.4098842,2.1715285,27,0,25,0.0000,27,0.0000
279,"C/ MAS CASANOVAS, 137",41.4158995,2.1745567,27,7,19,0.2593,27,0.2593
280,"C/ SANT ANTONI Mª CLARET, 290-296",41.4138664,2.1777274,27,0,26,0.0000,27,0.0000
281,"C/ D'ESCORNALBOU, 51",41.4180789,2.1763994,24,2,21,0.0833,24,0.0833
282,"PG. FONT D´EN- FARGAS, 1",41.4275514,2.1659881,27,18,9,0.6667,27,0.6667
283,"C/ FULTON, 1",41.4297231,2.1617032,20,3,17,0.1500,20,0.1500
284,"AV. DIAGONAL, 652",41.3894620,2.1314948,27,0,27,0.0000,27,0.0000
285,"C/ MALATS, 98-100",41.4366708,2.1861050,15,1,13,0.0667,15,0.0667
286,"C/ BOLÍVIA, 76",41.4030225,2.1913538,18,12,2,0.6667,18,0.6667
287,"GRAN VIA DE LES CORTS CATALANES, 632",41.3890626,2.1679313,16,9,4,0.5625,16,0.5625
288,PL. VIRREI AMAT,41.4296439,2.1744440,32,12,18,0.3750,32,0.3750
289,"C/ MÚRCIA, 64",41.4166982,2.1909952,27,13,14,0.4815,27,0.4815
290,"PL. DELS JARDINS D'ALFÀBIA, 1",41.4373376,2.1740962,17,10,6,0.5882,17,0.5882
291,"C/ CUBELLES, 2",41.4260780,2.1751572,27,2,24,0.0741,27,0.0741
292,"C/ AMILCAR, 1",41.4300161,2.1720191,12,3,9,0.2500,12,0.2500
293,"C/ GRANOLLERS, 1",41.4283127,2.1629889,24,2,21,0.0833,24,0.0833
294,SEU DEL DISTRICTE (NOU BARRIS),41.4363473,2.1706752,24,3,21,0.1250,24,0.1250
295,"C/ SANT ISCLE, 60",41.4333840,2.1716309,27,0,26,0.0000,27,0.0000
296,"C/ DE ROSSELLÓ I PORCEL, 1/AV.MERIDIANA",41.4364887,2.1841014,33,5,27,0.1515,33,0.1515
297,"C/ TURÓ BLAU, 1-3",41.4388223,2.1767828,24,3,21,0.1250,24,0.1250
298,"C/ ANDREU NIN, 22",41.4347233,2.1817718,33,26,6,0.7879,33,0.7879
299,"C/ DE L'ESCULTOR ORDÓÑEZ, 55",41.4340849,2.1748267,27,7,20,0.2593,27,0.2593
300,"C/ DE MALADETA, 1",41.4315843,2.1769107,18,4,14,0.2222,18,0.2222
301,"C/ MARIE CURIE, 8-14",41.4366871,2.1693134,27,1,26,0.0370,27,0.0370
302,"SEIDOR-C/ CAVALLERS, 41",41.3906352,2.1115410,32,1,31,0.0313,32,0.0313
303,"SEIDOR-C/ CAVALLERS, 67",41.3934324,2.1151070,27,7,16,0.2593,27,0.2593
304,"SEIDOR-PG. MANUEL GIRONA, 7",41.3903800,2.1210000,27,5,22,0.1852,27,0.1852
305,"SEIDOR-AV. DIAGONAL, 680",41.3875297,2.1237141,27,1,23,0.0370,27,0.0370
306,"C/ DOCTOR SALVADOR CARDENAL, 1-5",41.3853868,2.1228930,31,13,17,0.4194,31,0.4194
307,C/ PINTOR RIBALTA / AV. XILE,41.3791986,2.1135824,32,15,14,0.4688,32,0.4688
308,"C/ CARDENAL REIG, 11",41.3768400,2.1140290,27,5,22,0.1852,27,0.1852
309,"C/ SANT RAMON NONAT,  26",41.3770199,2.1169828,22,2,19,0.0909,22,0.0909
310,C/ JOSEP SAMITIER / JOAN XXIII,41.3812111,2.1190863,27,7,17,0.2593,27,0.2593
311,"C/ GALLEGO, 2",41.3785631,2.1202487,24,2,21,0.0833,24,0.0833
312,"C/ ARIZALA, 77",41.3789061,2.1233038,36,1,35,0.0278,36,0.0278
313,"C/ FELIU DE CASANOVA, 1",41.3754188,2.1297823,29,2,24,0.0690,29,0.0690
314,"RAMBLA DEL BRASIL, 44",41.3783067,2.1297303,24,2,22,0.0833,24,0.0833
